Sample.Label,species,object_id,distance_cat,Urban,Coniferous,Broadleaf,MountainHeathBog,Freshwater
219,B,478,15,0,95,0,2,0
219,B,479,25,0,95,0,2,0
219,B,481,5,0,95,0,2,0
219,B,482,95,0,95,0,2,0
219,B,483,5,0,95,0,2,0
223,B,495,85,0,3,2,0,0
226,B,503,35,0,0,0,0,0
227,B,507,125,0,99,0,0,0
228,B,508,35,0,55,12,5,0
230,B,513,25,1,0,0,0,0
231,B,515,25,3,0,41,0,0
232,B,520,25,0,0,0,4,0
234,B,523,15,1,0,6,0,0
237,B,530,5,0,54,11,0,0
237,B,531,65,0,54,11,0,0
237,B,533,105,0,54,11,0,0
237,B,534,35,0,54,11,0,0
238,B,536,15,0,0,0,4,2
239,B,538,35,0,0,0,88,0
244,B,546,15,0,0,0,95,5
247,B,550,75,0,2,0,61,0
247,B,551,5,0,2,0,61,0
247,B,552,15,0,2,0,61,0
250,B,560,15,0,0,0,2,0
251,B,561,35,0,0,0,94,6
252,B,565,75,0,0,0,100,0
253,B,566,15,1,0,4,0,0
253,B,568,5,1,0,4,0,0
255,B,569,115,0,0,0,56,0
262,B,578,115,0,47,18,13,0
262,B,580,75,0,47,18,13,0
263,B,581,25,0,0,0,3,0
263,B,582,5,0,0,0,3,0
264,B,585,5,0,3,29,0,5
268,B,590,5,5,0,40,10,0
268,B,591,5,5,0,40,10,0
269,B,594,15,0,0,0,81,4
269,B,595,15,0,0,0,81,4
271,B,600,65,0,46,0,0,0
271,B,601,105,0,46,0,0,0
272,B,604,35,0,0,1,0,0
273,B,606,45,0,0,1,99,0
275,B,609,5,3,0,19,1,0
276,B,610,25,0,0,0,15,0
277,B,611,5,0,0,0,100,0
280,B,616,25,0,0,0,100,0
283,B,623,25,0,0,0,14,0
286,B,628,35,4,0,3,9,0
288,B,634,95,0,0,0,95,1
288,B,635,5,0,0,0,95,1
289,B,636,85,0,0,0,80,0
289,B,638,55,0,0,0,80,0
291,B,644,35,0,0,0,98,0
292,B,646,15,0,0,0,99,0
293,B,648,135,0,55,0,45,0
301,B,665,25,0,63,0,33,0
301,B,666,65,0,63,0,33,0
302,B,668,55,0,30,0,66,0
